category,id,date,location,total_sale,nooflots,lot,title,descr,measures,empty,estimated,realized
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 20,A ROMAN MARBLED GLASS FLASK,CIRCA 1ST CENTURY A.D.,13 1⁄2 in. (34.3 cm.) high,,"estimate £8,000 - £12,000($10,608 - $15,912) ","price realized £32,500  ($42,998)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 21,FOUR EASTERN MEDITERRANEAN AND ROMAN GLASS VESSELS,CIRCA 4TH CENTURY B.C.-4TH CENTURY A.D.,3 1⁄2 in. (9 cm.) cm high max.,,"estimate £3,000 - £4,000($3,978 - $5,304) ","price realized £8,750  ($11,576)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 22,A LATE ROMAN GLASS JAR,CIRCA 4TH-5TH CENTURY A.D.,3 1⁄2 in. (9 cm.) high,,"estimate £1,500 - £2,500($1,989 - $3,315) ","price realized £16,250  ($21,499)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 23,THREE ROMAN GLASS VESSELS,CIRCA 1ST-5TH CENTURY A.D.,4 1⁄2 in. (11.5 cm.) high max.,,"estimate £1,000 - £1,500($1,326 - $1,989) ","price realized £2,000  ($2,646)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 24,SIX ROMAN AND ISLAMIC GLASS VESSELS,CIRCA 1ST-10TH CENTURY A.D.,6 1⁄2 in. (16.5 cm.) high max.,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £5,000  ($6,615)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 25,TWO LATE ROMAN GLASS VESSELS,CIRCA 4TH-5TH CENTURY A.D.,7 1⁄4 in. (18.5 cm.) high max.,,"estimate £1,500 - £2,500($1,989 - $3,315) ","price realized £8,750  ($11,576)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 26,TWO LATE ROMAN GLASS FLASKS,CIRCA 4TH-5TH CENTURY A.D.,12 1⁄4 in. (31 cm.) high max.,,"estimate £3,000 - £4,000($3,978 - $5,304) ","price realized £8,750  ($11,576)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 27,A CYCLADIC MARBLE HEAD,"EARLY SPEDOS VARIETY, EARLY CYCLADIC II, CIRCA 2600-2500 B.C.",2 in. (5 cm.) high,,"estimate £8,000 - £12,000($10,608 - $15,912) ","price realized £22,500  ($29,768)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 29,A CYCLADIC MARBLE SHALLOW LUG BOWL,"GROTTA-PELOS CULTURE, CIRCA 3000-2800 B.C.",9 1⁄4 in. (23.5 cm.) diam.,,"estimate £5,000 - £8,000($6,630 - $10,608) ","price realized £1,750  ($2,315)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 30,A CYCLADIC MARBLE PALETTE,"EARLY CYCLADIC I, CIRCA 3200-2700 B.C.",8 in. (20.4 cm.) long,,"estimate £4,000 - £6,000($5,304 - $7,956) ","price realized £5,250  ($6,946)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 32,A CYCLADIC MARBLE KANDILA,"EARLY CYCLADIC I, CIRCA 3200-2700 B.C.",6 1⁄2 in. (16.4 cm.) high,,"estimate £5,000 - £7,000($6,630 - $9,282) ","price realized £9,375  ($12,403)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 33,A CYCLADIC POTTERY LIDDED PYXIS,"EARLY CYCLADIC II, CIRCA 2800-2300 B.C.",5 3⁄4 in. (14.6 cm.) diam.; 5 1⁄2 in. (14 cm.) high,,"estimate £5,000 - £7,000($6,630 - $9,282) ","price realized £10,625  ($14,057)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 35,TWO CYCLADIC POTTERY PYXIDES,"EARLY CYCLADIC I, CIRCA 3200-2700 B.C.",5 1⁄2 in. (14 cm.) diam. max.,,"estimate £7,000 - £9,000($9,282 - $11,934) ","price realized £1,375  ($1,819)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 36,A CYCLADIC MARBLE BOWL,"EARLY CYCLADIC II, CIRCA 2700-2200 B.C.",4 13⁄16 in. (12.3 cm.) diam.,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £2,750  ($3,638)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 37,FOUR CYCLADIC MARBLE BOWLS,"EARLY CYCLADIC I-II, CIRCA 3200-2300 B.C.",5 3⁄8 in. (13.6 cm.) diam. max.,,"estimate £3,000 - £5,000($3,978 - $6,630) ","price realized £3,500  ($4,631)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 38,A MINOAN SERPENTINE OIL LAMP,"MINOAN III-MIDDLE MINOAN II, CIRCA 2000 B.C.",9 3⁄16 in. (23.3 cm.) wide incl. handles,,"estimate £7,000 - £9,000($9,282 - $11,934) ","price realized £6,250  ($8,269)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 39,A MINOAN TERRACOTTA VOTIVE FIGURE OF A MAN,"MIDDLE MINOAN, CIRCA 2000-1700 B.C.",5 7⁄8 in. (14.9 cm.) high,,"estimate £4,000 - £6,000($5,304 - $7,956) ","price realized £9,375  ($12,403)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 40,A MYCENAEAN POTTERY KYLIX,"LATE HELLADIC III, CIRCA 1300 B.C.",7 1⁄4 in. (18.5 cm.) high,,"estimate £6,000 - £8,000($7,956 - $10,608) ","price realized £17,500  ($23,153)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 41,A MYCENAEAN PAINTED TERRACOTTA ENTHRONED FIGURE,"LATE HELLADIC III, CIRCA 1400-1100 B.C.",2 1⁄2 in. (6.5 cm.) high,,"estimate £3,000 - £5,000($3,978 - $6,630) ","price realized £3,000  ($3,969)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 42,A GREEK TERRACOTTA FIGURE,CIRCA LATE 6TH CENTURY B.C.,2 3⁄4 in. (7 cm.) long,,"estimate £1,000 - £1,500($1,326 - $1,989) ","price realized £2,750  ($3,638)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 44,AN ETRUSCAN FRAGMENTARY TERRACOTTA GORGONEION ANTEFIX,CIRCA 5TH CENTURY B.C.,11 in. (28 cm.) high,,"estimate £4,000 - £6,000($5,304 - $7,956) ","price realized £2,125  ($2,811)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 46,AN ETRUSCAN TERRACOTTA HEAD OF A YOUTH,CIRCA 4TH CENTURY B.C.,7 in. (17.7 cm.) high,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £3,750  ($4,961)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 47,AN ATTIC POTTERY FIGURAL OINOCHOE,CIRCA EARLY 5TH CENTURY B.C.,7 in. (18 cm.) high,,"estimate £4,000 - £6,000($5,304 - $7,956) ","price realized £6,000  ($7,938)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 48,AN ATTIC POTTERY HERAKLES FIGURAL OINOCHOE,"ATTRIBUTED TO THE COOK CLASS, CIRCA 500-475 B.C.",5 3⁄4 in. (14.6 cm.) high,,"estimate £4,000 - £6,000($5,304 - $7,956) ","price realized £8,125  ($10,749)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 49,AN ATTIC POTTERY FIGURAL OINOCHOE,"ATTRIBUTED TO THE COOK CLASS, CIRCA 500-475 B.C.",5 7⁄8 in. (15 cm.) high,,"estimate £3,000 - £5,000($3,978 - $6,630) ","price realized £2,125  ($2,811)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 50,AN ATTIC BLACK-FIGURED AMPHORA,CIRCA LATE 6TH CENTURY B.C.,12 1⁄4 in. (31 cm.) high,,"estimate £8,000 - £12,000($10,608 - $15,912) ","price realized £27,500  ($36,383)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 51,AN ATTIC BLACK-FIGURED MASTOID SKYPHOS,"CIRCLE OF THE HAIMON PAINTER, CIRCA EARLY 5TH CENTURY B.C.",4 1⁄4 in. (10.8 cm.) wide excl. handles,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £3,000  ($3,969)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 52,AN ATTIC BLACK GLAZED KANTHAROS AND FEEDER FLASK,CIRCA 5TH-4TH CENTURY B.C.,2 13⁄16 in. (7.1 cm.) high max.,,"estimate £700 - £900($928 - $1,193) ","price realized £1,375  ($1,819)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 53,AN ATTIC RED-FIGURED LEKYTHOS,"ATTRIBUTED TO THE BOWDOIN PAINTER, CIRCA 475 B.C.",9 3⁄4 in. (24.7 cm.) high,,"estimate £5,000 - £8,000($6,630 - $10,608) ","price realized £10,625  ($14,057)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 54,AN ATTIC RED-FIGURED KYLIX,"ATTRIBUTED TO GROUP YZ, CIRCA 4TH CENTURY B.C.",10 3⁄8 in. (26.3 cm.) diam. excl. handles,,"estimate £6,000 - £8,000($7,956 - $10,608) ","price realized £8,750  ($11,576)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 55,TWO APULIAN RED-FIGURED PLATES,CIRCA LATE 4TH CENTURY B.C.,11 1⁄8 in. (28.2 cm.) diam. max.,,"estimate £4,000 - £6,000($5,304 - $7,956) ","price realized £2,750  ($3,638)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 56,TWO APULIAN GNATHIAN-WARE PROCHOI,CIRCA LATE 4TH CENTURY B.C.,8 in. (20.4 cm.) high,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £2,000  ($2,646)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 57,TWO APULIAN GNATHIAN-WARE SKYPHOI,CIRCA 320-310 B.C.,4 1⁄2 in. (11.5 cm.) high max.,,"estimate £2,500 - £3,500($3,315 - $4,641) ","price realized £2,000  ($2,646)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 58,AN APULIAN RED-FIGURED SQUAT LEKYTHOS,CIRCA MID 4TH CENTURY B.C.,5 5⁄8 in. (14.3 cm.) high,,"estimate £3,000 - £5,000($3,978 - $6,630) ","price realized £2,500  ($3,308)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 59,A GREEK BLACK-GLAZED HYDRIA,"SOUTH ITALY, CIRCA LATE 4TH CENTURY B.C.",11 3⁄8 in. (28.9 cm.) high,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £2,500  ($3,308)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 61,FOUR CANOSAN TERRACOTTA FEMALE FIGURES,"APULIA, CIRCA 3RD CENTURY B.C.",12 1⁄2 in. (31.7 cm.) high max,,"estimate £5,000 - £7,000($6,630 - $9,282) ","price realized £7,500  ($9,923)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 62,FIVE CANOSAN TERRACOTTAS,"APULIA, CIRCA 3RD CENTURY B.C.",6 in. (15.3 cm.) high max.,,"estimate £1,500 - £2,500($1,989 - $3,315) ",price realized £750  ($992)
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 63,A CANOSAN POTTERY FIGURAL OINOCHOE,"APULIA, CIRCA LATE 4TH-EARLY 3RD CENTURY B.C.",11 in. (28.1 cm.) high,,"estimate £2,000 - £3,000($2,652 - $3,978) ","price realized £1,625  ($2,150)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 64,A PAIR OF CANOSAN TERRACOTTA HORSES,"APULIA, CIRCA 3RD CENTURY B.C.",12 1⁄2 in. (31.8 cm.) long,,"estimate £8,000 - £12,000($10,608 - $15,912) ","price realized £27,500  ($36,383)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 66,A GREEK MARBLE HEAD OF A YOUTH,"LATE CLASSICAL TO EARLY HELLENISTIC PERIOD, CIRCA 4TH CENTURY B.C.",8 in. (20.4 cm.) high,,"estimate £5,000 - £8,000($6,630 - $10,608) ","price realized £8,750  ($11,576)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 67,A GREEK MARBLE FUNERARY STELE OF AN ATHLETE,"THESSALIAN OR IONIAN, SEVERE STYLE, CIRCA 475-460 B.C.",40 3⁄4 in. (103.5 cm.) high,,"estimate £50,000 - £80,000($66,300 - $106,080) ","price realized £81,250  ($107,494)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 69,A GREEK MARBLE FUNERARY LEKYTHOS,"CLASSICAL PERIOD, CIRCA 4TH CENTURY B.C.",37 in. (94 cm.) high,,"estimate £50,000 - £80,000($66,300 - $106,080) ","price realized £43,750  ($57,881)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 71,A GREEK MARBLE FUNERARY STELE,"CLASSICAL PERIOD, CIRCA LATE 4TH CENTURY B.C.",44 1⁄2 in. (113 cm.) high,,"estimate £50,000 - £80,000($66,300 - $106,080) ","price realized £56,250  ($74,419)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 72,A GREEK BRONZE HELMET OF CORINTHIAN TYPE,"ARCHAIC PERIOD, CIRCA MID-6TH CENTURY B.C.",8 in. (20 cm.) high,,"estimate £100,000 - £150,000($132,600 - $198,900) ","price realized £250,000  ($330,750)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 73,A GREEK MARBLE RELIEF WITH QUADRIGA,"CLASSICAL PERIOD, CIRCA LATE 5TH CENTURY B.C.",35 1⁄2 in. (90 cm.) wide,,"estimate £10,000 - £15,000($13,260 - $19,890) ","price realized £47,500  ($62,843)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 74,A GREEK MARBLE VOTIVE RELIEF,"LATE HELLENISTIC PERIOD, CIRCA 1ST CENTURY B.C.",16 in. (40.5 cm.) wide,,"estimate £5,000 - £7,000($6,630 - $9,282) ","price realized £1,250  ($1,654)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 75,A GREEK MARBLE VOTIVE RELIEF WITH FUNERARY BANQUET,"HELLENISTIC PERIOD, CIRCA LATE 2ND-1ST CENTURY B.C.",15 1⁄2 in. (39.5 cm.) wide,,"estimate £8,000 - £12,000($10,608 - $15,912) ","price realized £6,250  ($8,269)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 76,A GREEK MARBLE VOTIVE RELIEF WITH FUNERARY PROCESSION,"HELLENISTIC PERIOD, CIRCA 2ND-1ST CENTURY B.C.",14 1⁄2 in. (37 cm.) high,,"estimate £5,000 - £8,000($6,630 - $10,608) ","price realized £1,875  ($2,481)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 77,A GREEK BRONZE MIRROR COVER,"LATE CLASSICAL TO EARLY HELLENISTIC PERIOD, CIRCA 350-300 B.C.",6 1⁄8 in. (15.5 cm.) diam.,,"estimate £25,000 - £35,000($33,150 - $46,410) ","price realized £50,000  ($66,150)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 78,A ROMAN GILT BRONZE YOUNG ALEXANDER ON A HORSE,CIRCA 1ST CENTURY A.D.,4 in. (10.4 cm.) high,,"estimate £30,000 - £40,000($39,780 - $53,040) ","price realized £50,000  ($66,150)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 79,A GREEK BRONZE ATHENA,CIRCA 4TH CENTURY B.C.,9 1⁄2 in. (24 cm.) high,,"estimate £15,000 - £25,000($19,890 - $33,150) ","price realized £40,000  ($52,920)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 80,A ROMAN MARBLE ARCHAISTIC RELIEF PANEL,"NEO-ATTIC, CIRCA LATE 1ST CENTURY B.C.",35 1⁄2 in. (90 cm.) wide,,"estimate £80,000 - £120,000($106,080 - $159,120) ","price realized £112,500  ($148,838)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 81,A GREEK MARBLE DOUBLE-SIDED STELE ANTHEMION,"CLASSICAL PERIOD, CIRCA 350-320 B.C.",41 in. (104 cm.) high,,"estimate £40,000 - £60,000($53,040 - $79,560) ","price realized £37,500  ($49,613)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 82,TWO ROMAN MARBLE SARCOPHAGUS PANELS,CIRCA 2ND CENTURY A.D.,28 in. (71 cm.) wide max.,,"estimate £40,000 - £60,000($53,040 - $79,560) ","price realized £32,500  ($42,998)"
Antiquities,Auction                19876,"8 December 2021,                    London","8 December 2021,                    London","SALE TOTAL: 6,407,750 (GBP)",152 Lotsfor Sale 19876,Lot 83,A GREEK MARBLE FEMALE HEAD,"LATE CLASSICAL TO EARLY HELLENISTIC PERIOD, CIRCA 4TH CENTURY B.C.",8 1⁄8 in. (20.8 cm.) high,,"estimate £10,000 - £15,000($13,260 - $19,890) ","price realized £17,500  ($23,153)"
